Id,Review,Label,Category
0,good and interesting,5,Course Content
1,"This class is very helpful to me. Currently, I'm still learning this class which makes up a lot of basic music knowledge.",5,Course Content
2,like!Prof and TAs are helpful and the discussion among students are quite active. Very rewarding learning experience!,5,Instructor Quality
3,Easy to follow and includes a lot basic and important techniques to use sketchup.,5,Course Content
4,Really nice teacher!I could got the point eazliy but the v,4,Instructor Quality
5,"Great course - I recommend it for all, especially IT and Business Managers!",5,Course Content
6,One of the most useful course on IT Management!,5,Course Content
7,"I was disappointed because the name is misleading. The course provides a good introduction & overview of the responsibilities of the CTO, but has very little specifically digital content. It deals with two-speed IT in a single short lecture, so of course the treatment is superficial. It is easy to find more in-depth material freely available, on the McKinsey website for example.",3,Course Content
8,Super content. I'll definitely re-do the course,5,Course Content
9,One of the excellent courses at Coursera for information technology bosses and managers.,5,Course Content
10,"Is there any reason why you should not apply the course by BCG?)It's content is pretty unique and includes a high level analysis and a wide range of knowledge needed to cover all detailed aspects.Best regards,Oleg Serov",5,Course Content
11,Excellent course and teachers. Congratulations!!,5,Course Content
12,This is a good course for an CIO in a non technical company.,5,Course Content
13,"Good content, but the course setting does (at least for me) not allow learn the content long term due to missing reading material.",3,Course Content
14,Very structured approach. Thank you for sharing with me.,5,Course Content
15,"Program demystifies the evolving world of CIOs in a typical global corporation.Coverage being introductory familiarizes participants nicely through some of the nuances & emerging trends.When I took the course participant numbers was fewer, so feedback was quite delayed. So one should plan to be patient to get their peer reviews.Based on peer reviews i sensed much variations in their expectations.Few sections are in French with Subtitles.Subtitle quality requires audit/review.",4,Course Content
16,Very relevant and useful course designed for CIOs,5,Course Content
17,This course does not say anything about digitization which is the core subject of the digital wave.,2,Course Content
18,Videos that are presented in French could've been translated to English.,4,Platform Usability
19,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le.",3,Course Content
20,"Great piece of work, I especially liked a few 'lifehacks' for the CIO",5,Course Content
21,"Excellent course, for me it was very rewarding and the terms used and the tools given were excellent, and today and I put in use in my job, Thank you for inculcating knowledge and move on",5,Course Content
22,"Excellent... It is a representation of our day by day, thanks for sharing your vision, experience and advices...RegardsDaniel Damas",4,Course Content
23,Very interesting and well-designed MOOC !,5,Course Content
24,Excellent course! Totally recommended!,5,Course Content
25,Great course information and content ! Very interesting ! Unfortunately there is a peer graded assignment which 3 classmates must grade. Although two of my classmates gave me all passing grades one classmate gave me all 0's and didn't really justify why; which made me have to re submit my assignment. Thankfully 3 other amazing classmates saw the quality of my work :),4,Course Content
26,Very interesting course. I learned a lot about the history of Aboriginal education.,5,Course Content
27,Great content! Learned a lot.,5,Course Content
28,"This has been an phenomenal course on the education and worldviews of First Nations people. As an educator in a First Nation's community in Ontario's north, the knowledge in the lectures has been phenomenal.",5,Course Content
29,I found this course was very interesting and a great learning tool and I am glad I would recommend this course to people Ni:Awen,5,Course Content
30,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD. Would appreciate if the English subtitle is available in the whole course, so more students could access to these handy lectures and exercises.",5,Course Content
31,Very Basic course for learners without Autocad experiences.,5,Course Content
32,Good quality.,5,Course Content
33,Thanks.,5,Course Content
34,Course is comprehensive and detailed. But is a bit fast paced for people new to IT Finance,4,Course Content
35,A very great course for all IT person,5,Course Content
36,I think it should be a more engaged course with practical examples,4,Course Content
37,Excellent overview of the ways in which 3D printing is in use and how it may be used in the future.,5,Course Content
38,Very well documented course.Assignments are designed such a way that it stimulates you to think out of box.,5,Course Content
39,Very Good Informative Course.!!,5,Course Content
40,Excellent course. I completely enjoyed it. Thank you Vishal and team.,5,Course Content
41,It opened up my understanding of what could be accomplished with 3D printing,5,Instructor Quality
42,"Important information on copy rights, patents, etc.",4,Course Content
43,"Progress is in a state of flux, so one must reach out to the best in academia on any particular subject to get a realistic update of technology. This course will help you catch up to design thinking and doing. Get it and do it.",5,Course Content
44,A really challenging and enriching course about the amazing world of 3D Printing. In this course you will discover the unimaginable amount of applications that 3D Printing offers and will open your mind in ways you didn't think possible!,5,Course Content
45,"This is a really good survey class in the potential of 3d printing, with examples of how individuals can empower themselves and others without the obstacles of traditional tooling, with a relatively short learning curve and low investment. It also demonstrates the ways in which, now and increasingly in the future, we'll all be capable of designing the solutions to our own problems with increasing agility!The only thing that could make it better would be to have more design challenges!Thanks!",5,Course Content
46,"Excellent course , enjoyed learning :)",5,Course Content
47,Great course and very informative.,5,Course Content
48,I'll start by saying that this course gives a good insight into a wide variety of applications of 3D printing. There are lots of interviews with people who have or are leveraging additive manufacturing in original and effective ways. The last week of the course also introduces an interesting and seemingly effective framework for design thinking.The reason that I've only rated 3 stars however is that the only useful thing you learn in this course is the design thinking framework. I think that it would be better if these videos were scattered throughout the rest of the specialisation. I do see value in including this material in the specialisation but not as an outright course.,3,Course Content
49,This course doesn't contain any new information. It does not teach you but just excitedly shows commonly known facts.There are better ways to invest your time.,1,Course Content
50,Great course. I enjoyed learning the material.,4,Course Content
51,"Excellent course. Good classes, easy to follow, updated content, high quality videos.",5,Course Content
52,It should be merged with course 1,3,Course Content
53,Very nutritional course with real world examples that let you understand the potential of 3d printing as an emerging technology.,5,Course Content
54,very interesting,5,Course Content
55,"Topics related to the economy or business are not something I am good at or enjoy reading about, this course helped me learn a bunch of useful things I would otherwise not have put effort into studying.",4,Course Content
56,"I was able to understand materials and devices used in 3d printing, software aspects of 3d printers and get an introductory view of cutting edge applications such as 3d printing in biomedical applications",5,Course Content
57,"This course is very interesting, enlightening and a wonderful introduction especially for learners with no prior experience with 3D printing.",5,Course Content
58,Great information and videos. Ready for the next step.Gus,5,Platform Usability
59,"If you are interested in having a deeper insight of the 3D printing technology, I recommend this course. There are no prerequisites, all you need is the desire to learn. This course will introduce to to you the different 3D manufacturing methods, and present to you to 3D printing companies that are presently actively. If you want to transitions into the 3D printing field, I believe this course is a good start.",5,Course Content
60,Full Individuals speaking,3,Course Content
61,It should be less repetitive and full of useful informations about applications.,3,Course Content
62,Very good inspirational examples.,5,Course Content
63,Great course. It provided a great degree of knowledge about applications and the design process.,5,Course Content
64,it could be easily compressed in a two-weeks course.Sometimes interviews are too long for what they need to explain.,3,Course Content
65,good introduction into the applications of 3D printing.,3,Course Content
66,good overview what you can do with this amazing technology.,5,Course Content
67,This session was too long and a little boring. Could be shorter with the related contents.,3,Course Content
68,exemplary examples to how 3d Printing can be applied to real world problems.,5,Course Content
69,"Great content, I still need to go over it to glean the wealth of information that has been put together here.",5,Course Content
70,"While there is some interesting content, particuarly in the last week on design thinking, some of the course topics don't seem to hold together well, and the videos include a lot of monotonous talking heads. While this conveys the benefit of being able to listen to some of the videos without consistently watching, the interview questions asked of speakers are sometimes printed on the screen and not asked verbally. If you're not watching, you miss the questions. I would like to see this course refocused on design thinking for 3D printing, with other applications interspersed as examples rather than constituting the lion's share of the course. I believe that format would both be more engaging and do a better job of delivering skills with more opportunity for practice.",2,Course Content
71,"I do not find very interesting this course. too many interviews. It could works for the first course, but not for the second. I was expecting to have more technical material and lessons.",1,Course Content
72,"Very good in-depth look at the potential applications for 3D printing. I especially liked the sections on development and education. This class gets you thinking about the potential ramifications of 3D printing and how it can change the economy, both locally and globally.",4,Course Content
73,"A good course to see the various market and non-profit aspects of 3D printing. Lot of examples and initiatives, a",5,Course Content
74,"Excellent course, could do with a little more visual references. Some of the talks are a bit tough to get through since you are watching 2 people. Content still very valuable.",4,Course Content
75,"A very complete course, very interesting!",5,Course Content
76,Great review of what can be accomplished through 3D printing.,5,Course Content
77,Great class!,5,Course Content
78,"Super! I did not expect the level of engagement needed to complete the course and it was a very pleasant surprise!Being a layman in the 3D printing revolution, this course really expanded my views on 3D printing.",5,Course Content
79,A lot of speaking without any sense. Skip it at all cost,1,Course Content
80,"This is a very basic course on 3D Printing Technology but every aspect of the technology is artistically explained. All the various points of view are considered and a 360 degree idea is passed on to the students.By taking this course, students who are contemplating about their involvement in this revolutionary technology will be able to finally decide their future course of action, which I believe will be positive.In short, this course will provide you a base whereas the further courses, I think (as I haven't taken up the rest of the courses till now but I intend to) will add sufficient value to your knowledge.Regards.",5,Course Content
81,Great course! Thank you!,5,Course Content
82,"Very helpful videos that really takes you into the real world of 3D printing. The interviews with the representatives from various industries in this course helped me understand the importance of 3D printing / additive manufacturing as a convenient tool, and also where to look for related resources.",5,Course Content
83,Great intro! The videos were fantastic and instructors very engaging.,5,Instructor Quality
84,Excellently framed course,5,Course Content
85,"I like the fact that so many leaders of 3D printing came from diverse backgrounds. And they share an infectious spirit of learning and pushing the boundaries of software, hardware and materials science.",5,Course Content
86,Great overview and introduction to 3D printing,5,Course Content
87,"So great! If you want to overview the current situation of 3D printing technology and develop so business on 3D printing, you have to watch this",5,Course Content
88,I thought this was a great high-level intro to the world of 3D printing.,5,Course Content
89,Got new prospects and vision of 3D printing tech,5,Course Content
90,"This was a great course, great implementation and motivation was provided which has definitely increased my enthusiasm and i am really looking forward to other courses to increase my skills.",5,Course Content
91,Excellent course. Very well presented. I enjoyed not only the instruction sessions but also the interviews with other specialists in this fascinating field. A great course to inspire one to continue pursuing this as a career.,5,Course Content
